source_id	source_qualified_name	edge_type	target_id	target_qualified_name	properties
2169	D-twse.model.module.TemporalEmbedding.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super(TemporalEmbedding, self).__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2158	D-twse.model.module.TransformerBlock.__init__	CALLS	2116	D-twse.model.module.BinarySphericalQuantizer.__init__	{"callee":"super().__init__","confidence":0.03,"strategy":"suffix_match","candidates":55}
2158	D-twse.model.module.TransformerBlock.__init__	CALLS	2136	D-twse.model.module.FeedForward	{"callee":"FeedForward","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"d_model"},{"i":1,"e":"ff_dim"},{"i":2,"e":"ffn_dropout_p"}]}
2158	D-twse.model.module.TransformerBlock.__init__	CALLS	2144	D-twse.model.module.MultiHeadAttentionWithRoPE	{"callee":"MultiHeadAttentionWithRoPE","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"d_model"},{"i":1,"e":"n_heads"},{"i":2,"e":"attn_dropout_p"},{"i":3,"e":"resid_dropout_p"}]}
2158	D-twse.model.module.TransformerBlock.__init__	CALLS	2132	D-twse.model.module.RMSNorm	{"callee":"RMSNorm","confidence":0.85,"strategy":"lsp_constructor","candidates":1,"args":[{"i":0,"e":"d_model"}]}
2962	D-twse.scripts.backfill_indicators	CALLS	2963	D-twse.scripts.backfill_indicators.main	{"callee":"main","confidence":0.90,"strategy":"same_module","candidates":1}
2963	D-twse.scripts.backfill_indicators.main	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.38,"strategy":"unique_name","candidates":1}
2963	D-twse.scripts.backfill_indicators.main	CALLS	1958	D-twse.twstock.calculator.ATRCalculator	{"callee":"ATRCalculator","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"k":"db","e":"conn"}]}
2963	D-twse.scripts.backfill_indicators.main	CALLS	1961	D-twse.twstock.calculator.ATRCalculator.calculate_all	{"callee":"calc4.calculate_all","confidence":0.28,"strategy":"suffix_match","candidates":3}
2963	D-twse.scripts.backfill_indicators.main	CALLS	1966	D-twse.twstock.calculator.MACalculator	{"callee":"MACalculator","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"k":"db","e":"conn"}]}
2963	D-twse.scripts.backfill_indicators.main	CALLS	1962	D-twse.twstock.calculator.VWAPCalculator	{"callee":"VWAPCalculator","confidence":0.38,"strategy":"unique_name","candidates":1,"args":[{"i":0,"k":"db","e":"conn"}]}
2963	D-twse.scripts.backfill_indicators.main	CALLS	2970	D-twse.twstock.commands.dividend.execute	{"callee":"conn.execute","confidence":0.14,"strategy":"suffix_match","candidates":6,"args":[{"i":0,"e":"'SELECT stock_id, date, ma5, ma25, vol_ma5, bias_ma25, atr14, vwap '          'FROM stock_indicators WHERE stock_id='233"}]}
